FID,SLN,ELEM_DESC,MID_SLN,MIDDLE,HIGH_SLN,HIGH,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,matched_campus,zone_match_score,zone_match_method,Campus,school_students,percent_economically_disadvantaged,ses_score,academic_score,expected_academic_score,academic_residual,standardized_disparity,disparity_magnitude,pattern,matched_budget_org,budget_match_score,budget_match_method,budget_students,total_budget,budget_per_student,budget_normalized,ses_normalized,academic_normalized,disparity_normalized,budget_ses_score,budget_academic_score,budget_disparity_score,budget_per_student_display,total_budget_display,percent_ed_display,ses_score_display,academic_score_display,expected_academic_display,standardized_disparity_display,budget_ses_display,budget_academic_display,budget_disparity_display
1,235,Alexander Elementary School,42,Bedford Law,23,Carter,,8494260.575987035,8494260.61328125,20933.297635314517,BIRDIE ALEXANDER EL,110.0,automatic,BIRDIE ALEXANDER EL,289,86.9,13.099999999999994,78.0,80.82479364180988,-2.824793641809876,-0.36019273678231245,0.36019273678231245,higher SES; academics near expected,ALEXANDER ELEMENTARY,110.0,fuzzy match,289.0,2852599.0,9870.584775,0.23742143259400633,0.1390658174097664,0.6097560975609756,0.10297554839430445,0.18824362500188635,0.423588765077491,0.1701984904941554,9870.58,2852599.0,86.9,13.1,78.0,80.82,-0.36,0.188,0.424,0.17
2,103,Allen Charter School,372,West Dallas,12,Pinkston,,3615180.002580879,3615180.0546875,13407.915459353459,GABE P ALLEN CHARTER SCHOOL,110.0,automatic,GABE P ALLEN CHARTER SCHOOL,399,98.2,1.7999999999999972,78.0,80.1600243800548,-2.160024380054793,-0.275427231728674,0.275427231728674,lower SES; academics near expected,GABE P ALLEN NEW TECH ACADEMY,110.0,fuzzy match,399.0,3191381.0,7998.448622,0.15863967161118844,0.019108280254777038,0.6097560975609756,0.07872929449836882,0.08887397593298274,0.384197884586082,0.11868448305477863,7998.45,3191381.0,98.2,1.8,78.0,80.16,-0.28,0.089,0.384,0.119
3,104,Anderson Elementary School,352,Young Women's STEAM,17,Spruce,,4780445.5462801475,4780445.56640625,10057.699981901902,WILLIAM M ANDERSON EL,110.0,automatic,WILLIAM M ANDERSON EL,520,98.8,1.2000000000000028,88.0,80.12472689712973,7.875273102870267,1.0041852721013362,1.0041852721013362,lower SES; academics higher than expected,WILLIAM ANDERSON ELEMENTARY,110.0,fuzzy match,520.0,4246062.0,8165.503846,0.16566955814321732,0.012738853503184744,0.8536585365853658,0.28718263249710974,0.08920420582320103,0.5096640473642916,0.22642609532016353,8165.5,4246062.0,98.8,1.2,88.0,80.12,1.0,0.089,0.51,0.226
4,105,Arcadia Park Elementary School,68,Quintanilla,12,Pinkston,,9831726.26058021,9831726.25,15800.137457339704,ARCADIA PARK EL,110.0,automatic,ARCADIA PARK EL,606,91.4,8.599999999999994,84.0,80.560062519872,3.4399374801279947,0.43863044612826557,0.43863044612826557,higher SES; academics near expected,ARCADIA PARK ELEMENTARY,100.0,exact normalized name,606.0,4536019.0,7485.179868,0.13704069963856783,0.09129511677282372,0.7560975609756098,0.12541180491886755,0.11416790820569578,0.4465691303070888,0.1312262522787177,7485.18,4536019.0,91.4,8.6,84.0,80.56,0.44,0.114,0.447,0.131
5,108,Bayles Elementary School,48,Gaston,1,Adams,,5043353.090019352,5043353.12890625,13255.42314335965,BAYLES EL,110.0,automatic,BAYLES EL,391,98.5,1.5,82.0,80.14237563859227,1.85762436140773,0.23686785213104777,0.23686785213104777,lower SES; academics near expected,BAYLES ELEMENTARY,100.0,exact normalized name,391.0,3325605.0,8505.383632,0.17997211195087476,0.01592356687898089,0.7073170731707317,0.0676998019329414,0.09794783941492782,0.44364459256080324,0.12383595694190808,8505.38,3325605.0,98.5,1.5,82.0,80.14,0.24,0.098,0.444,0.124
6,274,Bethune Elementary School,59,Stockard,5,Molina,,5535166.249896116,5535166.28515625,11997.363384045311,MARY MCLEOD BETHUNE EL,110.0,automatic,MARY MCLEOD BETHUNE EL,575,89.6,10.400000000000006,88.0,80.66595496864716,7.334045031352844,0.9351726485178417,0.9351726485178417,higher SES; academics higher than expected,BETHUNE ELEMENTARY,110.0,fuzzy match,575.0,3850878.0,6697.17913,0.10388067241729974,0.11040339702760091,0.8536585365853658,0.2674423195906839,0.10714203472245032,0.47876960450133277,0.18566149600399182,6697.18,3850878.0,89.6,10.4,88.0,80.67,0.94,0.107,0.479,0.186
7,109,Blair Elementary School,45,Comstock,17,Spruce,,14133198.95111584,14133198.984375,20264.341319621853,W A BLAIR EL,110.0,automatic,W A BLAIR EL,404,99.5,0.5,82.0,80.08354650038385,1.9164534996161535,0.24436922425968952,0.24436922425968952,lower SES; academics near expected,BLAIR ELEMENTARY,110.0,fuzzy match,404.0,3120860.0,7724.90099,0.14712845533180288,0.005307855626326964,0.7073170731707317,0.06984548811842275,0.07621815547906492,0.42722276425126726,0.10848697172511282,7724.9,3120860.0,99.5,0.5,82.0,80.08,0.24,0.076,0.427,0.108
8,110,Blanton Elementary School,52,Piedmont,14,Samuell,,5225491.997481854,5225491.95703125,10473.98648181765,ANNIE WEBB BLANTON EL,110.0,automatic,ANNIE WEBB BLANTON EL,597,95.1,4.900000000000006,86.0,80.34239470850088,5.657605291499124,0.7214078591148,0.7214078591148,lower SES; academics near expected,BLANTON ELEMENTARY,110.0,fuzzy match,597.0,5476318.0,9173.061977,0.20806882687457479,0.052016985138004304,0.8048780487804879,0.2062972187079884,0.13004290600628954,0.5064734378275313,0.2071830227912816,9173.06,5476318.0,95.1,4.9,86.0,80.34,0.72,0.13,0.506,0.207
9,289,Botello Elementary School,77,Garcia,2,Adamson,,4868399.887932606,4868399.8828125,13363.057947744084,FELIX G BOTELLO PERSONALIZED LEARNING EL,100.0,manual alias,FELIX G BOTELLO PERSONALIZED LEARNING EL,545,94.7,5.299999999999997,92.0,80.36592636378424,11.63407363621576,1.4834743185950388,1.4834743185950388,lower SES; academics higher than expected,FELIX G BOTELLO PERSONALIZED LEARNING ELEMENTARY,100.0,exact normalized name,545.0,3899954.0,7155.878899,0.12318331528668927,0.056263269639065784,0.9512195121951219,0.4242780689423197,0.08972329246287752,0.5372014137409056,0.27373069211450446,7155.88,3899954.0,94.7,5.3,92.0,80.37,1.48,0.09,0.537,0.274
10,112,Bowie Elementary School,77,Garcia,2,Adamson,,1862516.4423759258,1862516.40625,5739.980012813425,JAMES BOWIE EL,110.0,automatic,JAMES BOWIE EL,332,97.3,2.700000000000003,91.0,80.21297060444236,10.787029395557639,1.375466718074222,1.375466718074222,lower SES; academics higher than expected,BOWIE ELEMENTARY,110.0,fuzzy match,332.0,3009520.0,9064.819277,0.20351384271604026,0.028662420382165633,0.926829268292683,0.3933836655731498,0.11608813154910294,0.5651715555043616,0.29844875414459504,9064.82,3009520.0,97.3,2.7,91.0,80.21,1.38,0.116,0.565,0.298
